id,docid,type,eid,entity,prov,is_correct,category,expectation
68931,overlappingpdfs.132687.pdf.task,group,ROCK_DOC_overlappingpdfs.132687.pdf.task_450_19_20,drummuck group,"{450,19,20,""Drummuck Group""}",,1,0.996
21777,overlappingpdfs.132363.pdf.task,group,ROCK_DOC_overlappingpdfs.132363.pdf.task_533_8_8,eohalobia group,"{533,8,8,Eohalobia}",,1,0.996
17722,overlappingpdfs.132003.pdf.task,limestone,ROCK_DOC_overlappingpdfs.132003.pdf.task_255_11_13,bowan park limestone formation,"{255,11,13,""Bowan Park Limestone""}",,1,1
108154,overlappingpdfs.133053.pdf.task,formation,ROCK_DOC_overlappingpdfs.133053.pdf.task_81_0_1,mistaken point formation,"{81,0,1,""MISTAKEN POINT""}",,1,1
32287,overlappingpdfs.132964.pdf.task,formation,ROCK_DOC_overlappingpdfs.132964.pdf.task_391_29_30,alum shale formation,"{391,29,30,""Alum Shale""}",,1,0.995
57920,overlappingpdfs.138622.pdf.task,member,ROCK_DOC_overlappingpdfs.138622.pdf.task_1502_9_10,turtle cove member,"{1502,9,10,""Turtle Cove""}",,1,1
43980,overlappingpdfs.138707.pdf.task,member,ROCK_DOC_overlappingpdfs.138707.pdf.task_2223_7_7,twickenham member,"{2223,7,7,Twickenham}",,1,1
148781,overlappingpdfs.130524.pdf.task,shale,ROCK_DOC_overlappingpdfs.130524.pdf.task_60_30_30,vanport shale,"{60,30,30,Vanport}",,1,0.996
141005,overlappingpdfs.138540.pdf.task,formation,ROCK_DOC_overlappingpdfs.138540.pdf.task_1626_20_22,sheep creek formation,"{1626,20,22,""Sheep Creek Formation""}",,1,0.995
153661,overlappingpdfs.138272.pdf.task,formation,ROCK_DOC_overlappingpdfs.138272.pdf.task_2303_14_15,bone spring formation,"{2303,14,15,""Bone Spring""}",,1,0.996
150269,overlappingpdfs.133047.pdf.task,limestone,ROCK_DOC_overlappingpdfs.133047.pdf.task_422_5_6,pillara limestone formation,"{422,5,6,""Pillara Limestone""}",,1,0.996
94583,overlappingpdfs.138519.pdf.task,member,ROCK_DOC_overlappingpdfs.138519.pdf.task_1096_2_2,type member,"{1096,2,2,Type}",,1,1
149476,overlappingpdfs.135390.pdf.task,formation,ROCK_DOC_overlappingpdfs.135390.pdf.task_238_45_45,antimonio formation,"{238,45,45,Antimonio}",,1,0.996
14474,overlappingpdfs.138679.pdf.task,sandstone,ROCK_DOC_overlappingpdfs.138679.pdf.task_345_7_7,semilla sandstone,"{345,7,7,Semilla}",,1,1
10260,overlappingpdfs.136715.pdf.task,formation,ROCK_DOC_overlappingpdfs.136715.pdf.task_52_4_4,delorme formation,"{52,4,4,Delorme}",,1,1
96635,overlappingpdfs.138519.pdf.task,sand,ROCK_DOC_overlappingpdfs.138519.pdf.task_3708_3_3,west sand,"{3708,3,3,West}",,1,1
86469,overlappingpdfs.133020.pdf.task,formation,ROCK_DOC_overlappingpdfs.133020.pdf.task_60_0_0,bingma formation,"{60,0,0,Bingma}",,1,0.996
40861,overlappingpdfs.138707.pdf.task,formation,ROCK_DOC_overlappingpdfs.138707.pdf.task_2256_45_46,marsland formation,"{2256,45,46,""Marsland Formation""}",,1,1
126147,overlappingpdfs.136624.pdf.task,clay,ROCK_DOC_overlappingpdfs.136624.pdf.task_306_7_8,kalby clay,"{306,7,8,""Kalby Clay""}",,1,1
69315,overlappingpdfs.131.pdf.task,formation,ROCK_DOC_overlappingpdfs.131.pdf.task_885_11_11,tendaguru formation,"{885,11,11,Tendaguru}",,1,0.996
143973,overlappingpdfs.138453.pdf.task,formation,ROCK_DOC_overlappingpdfs.138453.pdf.task_1528_5_5,marcellus formation,"{1528,5,5,Marcellus}",,1,0.996
85347,overlappingpdfs.138519.pdf.task,formation,ROCK_DOC_overlappingpdfs.138519.pdf.task_2889_22_24,snake creek formation,"{2889,22,24,""Snake Creek Formation""}",,1,0.996
